last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,batting_avg,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,hard_hit_percent,avg_best_speed
Polanco, Jorge,593871,2022,28,375,88,56,16,0,16,0.235,89,21.7,37.7,10.2,6.3,25.7,33.8,19.4,38.7,99.92483957
Calhoun, Kole,594777,2022,34,388,76,49,14,1,12,0.196,90.8,15.4,40.4,9.8,8.6,26.7,26.3,26.7,48.2,100.8620318
Duvall, Adam,594807,2022,33,287,61,32,16,1,12,0.213,88.3,23.4,36.2,12.8,7.4,21.3,35.1,19.7,41,100.5660766
Alfaro, Jorge,595751,2022,29,256,63,42,14,0,7,0.246,89.4,8,38.5,11.2,4.3,21.7,21.1,34.8,38.5,102.0209396
Profar, Jurickson,595777,2022,29,575,140,87,36,2,15,0.243,87.5,12.9,34.7,4,4.6,28.7,27.8,29.5,34.3,97.85946856
Baez, Javier,595879,2022,29,555,132,84,27,4,17,0.238,87.9,9.6,29.7,8,4.9,20.9,21.9,40.1,38,99.68913118
Hedges, Austin,595978,2022,29,294,48,37,4,0,7,0.163,84.2,16.7,31.9,3.1,4.4,19.2,33.6,30.1,22.3,94.91210239
Lindor, Francisco,596019,2022,28,630,170,114,25,5,26,0.27,89.3,13.8,29.2,8.3,6.2,22.4,26.8,32.3,41.3,99.74056542
Odor, Rougned,596059,2022,28,426,88,53,19,3,13,0.207,87.8,21.5,30.5,6.5,5.6,23.1,36.4,23.1,33.3,98.2336768
Slater, Austin,596103,2022,29,277,73,49,15,2,7,0.264,89,6.6,43.2,10.5,6.8,28.9,14.2,33.7,39.5,99.90871355
Story, Trevor,596115,2022,29,357,85,47,22,0,16,0.238,88.9,17.8,36,11.3,7.1,21.3,31,27.2,40.6,100.6136353
Vogelbach, Daniel,596129,2022,29,386,92,54,19,1,18,0.238,89.4,15.8,38.1,10.6,7.7,24.5,26,29.3,39.9,99.8176586
Sanchez, Gary,596142,2022,29,419,86,46,24,0,16,0.205,90.5,14,29.2,13.5,5.9,19.1,27.1,26.4,49.3,103.2005553
Kepler, Max,596146,2022,29,388,88,60,18,1,9,0.227,89.1,11.2,31.9,7.1,5.2,25.2,25.2,33.7,39.9,100.0905855
Franco, Maikel,596748,2022,29,371,85,61,15,0,9,0.229,87,11.5,33.1,4.7,5.7,25.1,25.8,32.4,34.4,98.81845838
Choi, Ji Man,596847,2022,31,356,83,50,22,0,11,0.233,92.2,10.6,37.3,11.9,8.1,27.5,16.9,33.1,47.5,101.2955077
Bradley Jr., Jackie,598265,2022,32,344,70,42,23,1,4,0.203,87.6,7.4,29.4,4.8,7.4,22.3,21.9,36.8,37.2,98.07188135
Candelario, Jeimer,600869,2022,28,429,93,59,19,2,13,0.217,87.2,13.5,37,8.3,4,21.3,28.4,32.7,34.6,98.35249938
Daza, Yonathan,602074,2022,28,372,112,87,21,2,2,0.301,84.8,4.6,34.1,1.9,2.5,32.5,16.6,40.9,25,95.18025019
Urias, Ramon,602104,2022,28,403,100,66,17,1,16,0.248,89.4,11,32.1,9.6,5.4,24.7,20.8,33.7,46.5,100.6902447
Anderson, Brian,605119,2022,29,338,75,50,16,1,8,0.222,88.7,7.7,31.1,9.7,4.2,24.8,20.2,34.5,42,100.372461
Bell, Josh,605137,2022,29,552,147,98,29,3,17,0.266,88.9,8.4,30.7,7.2,3.7,27.4,20.6,36.6,40.8,100.5513575
Betts, Mookie,605141,2022,29,572,154,76,40,3,35,0.269,90.5,18.6,36.2,9.7,8.7,22.7,31.8,22.7,44.9,99.95446604
Caratini, Victor,605170,2022,28,272,54,33,12,0,9,0.199,89.4,6.6,30,6.3,5.3,28.5,20.3,35.7,43.5,100.6492864
Davis, J.D.,605204,2022,29,318,79,50,16,1,12,0.248,92.4,12.3,34.8,16.2,5.6,26.3,18.7,30.8,56.1,103.9667302
Machin, Vimael,605353,2022,28,223,49,36,12,0,1,0.22,89.3,10.2,36.3,3.9,7.3,26.3,24,38,39.1,98.58800967
Castro, Harold,605612,2022,28,420,114,84,21,2,7,0.271,87,11.4,41.6,6.1,7.8,28.9,20.5,31.2,33.3,97.10925959
Tapia, Raimel,606132,2022,28,411,109,79,20,3,7,0.265,87.6,4,27.5,5.1,3.3,26.9,18.9,40.7,38,99.7014383
Aquino, Aristides,606157,2022,28,259,51,28,13,0,10,0.197,85.6,17.4,27.2,8.2,1.9,20.9,32.3,24.7,34.6,99.16803714
Hernandez, Teoscar,606192,2022,29,499,133,72,35,1,25,0.267,92.6,11.6,36.3,15,7.5,23.3,19.9,32,53.3,103.4204195
Marte, Ketel,606466,2022,28,492,118,62,42,2,12,0.24,90.1,13.5,31.6,6.1,5.8,28,27.3,29.5,41.9,101.2027546
Haase, Eric,606992,2022,29,323,82,50,17,1,14,0.254,87.7,17,32.3,8.7,7.9,21.4,28.4,27.5,42.4,100.5070015
